string,hash,bin_offset
unknown,B6 73 4C B0 27 BA C1 2B,
unknown,44 38 40 C4 7E E7 98 50,
unknown,65 49 DA ED ED 36 53 34,
unknown,18 BD D4 D6 CC 6A 28 E0,
unknown,EC C5 4E 15 54 12 A2 47,
unknown,36 61 8C 76 1F 93 67 C2,
unknown,1E 56 67 32 20 91 6A 7A,
unknown,74 5E 97 67 0A E8 1F C1,
unknown,94 CC 00 08 D3 D3 97 3B,
unknown,6B 3A 89 C4 D7 DC 90 5A,
unknown,7D 5E FA 8C EA A0 A8 76,
unknown,90 2D DC EE 1D CB DF 37,
unknown,72 FC E7 C0 01 46 07 14,
unknown,74 5E 97 67 0A E8 1F C1,
unknown,94 CC 00 08 D3 D3 97 3B,
unknown,7E A2 28 99 B1 63 1A AE,
unknown,43 53 A0 C6 66 93 41 49,
unknown,12 B4 E1 A8 B6 6C 3E 46,
unknown,8F 0B CB 92 FB 91 BB 82,
unknown,3C 16 53 6F 1B A1 85 23,
unknown,C2 A7 85 99 4C F2 52 AD,
unknown,81 D3 B2 28 5B 1C ED 64,
_delaytime,30 99 79 FA 1C 61 DA E1,
_lifetime,5E E3 D9 7C DD 2A 1D 40,
